Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,Butler Bulldogs,NCAA,2026-27,2026-10-11,TBA,Indiana Hoosiers,Home,Hinkle Fieldhouse,Indianapolis,IN,,Exhibition,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-10-18,TBA,Indiana State Sycamores,Home,Hinkle Fieldhouse,Indianapolis,IN,,Exhibition,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-10-25,TBA,Ohio State Buckeyes,Away,Value City Arena,Columbus,OH,,Exhibition,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-02,TBA,Lafayette Leopards,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-04,TBA,Fairleigh Dickinson Knights,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-08,TBA,Boise State Broncos,Away,ExtraMile Arena,Boise,ID,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-13,TBA,Pittsburgh Panthers,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-17,TBA,Western Carolina Catamounts,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-19,TBA,Northeastern Huskies,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-22,TBA,Nebraska Cornhuskers,Neutral,Credit Union 1 Arena,Chicago,IL,,Regular Season,Bad Boy Mowers Series
Basketball,Butler Bulldogs,NCAA,2026-27,2026-11-27,TBA,Bellarmine Knights,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,Black Friday
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-02,TBA,Presbyterian Blue Hose,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-06,TBA,North Carolina Tar Heels,Away,Dean E. Smith Center,Chapel Hill,NC,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-16,TBA,USC Upstate Spartans,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-19,TBA,Georgia Tech Yellow Jackets,Neutral,Gainbridge Fieldhouse,Indianapolis,IN,,Regular Season,Indy Classic
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-12,TBA,Providence Friars,Away,Amica Mutual Pavilion,Providence,RI,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-23,TBA,Marquette Golden Eagles,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2026-12-31,TBA,Connecticut Huskies,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-03,TBA,St. John's Red Storm,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-09,TBA,DePaul Blue Demons,Away,Wintrust Arena,Chicago,IL,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-12,TBA,Xavier Musketeers,Away,Cintas Center,Cincinnati,OH,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-15,TBA,Villanova Wildcats,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-18,TBA,Georgetown Hoyas,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-23,TBA,Connecticut Huskies,Away,TBA,TBA,CT,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-27,TBA,Providence Friars,Home,Hinkle Fieldhouse,Indianapolis,IN,,Regular Season,BIG EAST
Basketball,Butler Bulldogs,NCAA,2026-27,2027-01-30,TBA,Marquette Golden Eagles,Away,Fiserv Forum,Milwaukee,WI,,Regular Season,BIG EAST
