Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-02,TBD,Eastern Illinois,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-05,TBD,Bellarmine,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-09,TBD,Syracuse,Neutral,Gainbridge Fieldhouse,Indianapolis,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-12,TBD,Tennessee Tech,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-17,TBD,Arkansas,Neutral,Madison Square Garden,New York,NY,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-20,TBD,Kentucky,Neutral,Lucas Oil Stadium,Indianapolis,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-24,TBD,Jacksonville,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-11-27,TBD,Bowling Green,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-01,TBD,Rutgers,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-03,TBD,Western Illinois,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-07,TBD,Iowa,Away,Carver-Hawkeye Arena,Iowa City,IA,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-12,TBD,UCF,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-18,TBD,Missouri,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2026-12-22,TBD,Fairleigh Dickinson,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-02,TBD,USC,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-06,TBD,Oregon,Away,Matthew Knight Arena,Eugene,OR,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-09,TBD,Washington,Away,Hec Edmundson Pavilion,Seattle,WA,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-12,TBD,Maryland,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-16,TBD,Michigan,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-20,TBD,Minnesota,Away,Williams Arena,Minneapolis,MN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-24,TBD,Illinois,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-27,TBD,Northwestern,Away,Welsh-Ryan Arena,Evanston,IL,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-30,TBD,UCLA,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-02,TBD,Penn State,Away,Bryce Jordan Center,University Park,PA,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-06,TBD,Nebraska,Away,Pinnacle Bank Arena,Lincoln,NE,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-09,TBD,Northwestern,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-13,TBD,Maryland,Away,Xfinity Center,College Park,MD,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-16,TBD,Purdue,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-19,TBD,Wisconsin,Away,Kohl Center,Madison,WI,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-23,TBD,Michigan State,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-28,TBD,Ohio State,Home,Simon Skjodt Assembly Hall,Bloomington,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-03-05,TBD,Purdue,Away,Mackey Arena,West Lafayette,IN,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-01-05,TBD,Illinois,Away,State Farm Center,Champaign,IL,TBD,Regular Season,
Basketball,Indiana Hoosiers,NCAA,2026,2027-02-26,TBD,Michigan State,Away,Breslin Center,East Lansing,MI,TBD,Regular Season,
