Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Football,Indiana Hoosiers,NCAA Division I,2026,2026-09-05,TBD,Old Dominion,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-09-12,TBD,Western Michigan,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-09-19,TBD,Illinois,Away,Memorial Stadium,Champaign,IL,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-09-26,TBD,Maryland,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-10-03,TBD,Penn State,Away,Beaver Stadium,University Park,PA,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-10-10,TBD,Iowa,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-10-17,TBD,Wisconsin,Away,Camp Randall Stadium,Madison,WI,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-10-31,TBD,UCLA,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-11-07,TBD,Michigan State,Away,Spartan Stadium,East Lansing,MI,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-11-14,TBD,Minnesota,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-11-21,TBD,Oregon,Away,Autzen Stadium,Eugene,OR,TBD,Regular Season,
Football,Indiana Hoosiers,NCAA Division I,2026,2026-11-28,TBD,Purdue,Home,Memorial Stadium,Bloomington,IN,TBD,Regular Season,
