Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-03-01,12:00 PM,Streets of St. Petersburg,Neutral,Streets of St. Petersburg,St. Petersburg,FL,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-03-07,3:00 PM,Phoenix Raceway,Neutral,Phoenix Raceway,Avondale,AZ,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-03-15,12:30 PM,Streets of Arlington,Neutral,Streets of Arlington,Arlington,TX,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-03-29,1:00 PM,Barber Motorsports Park,Neutral,Barber Motorsports Park,Birmingham,AL,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-04-19,5:30 PM,Streets of Long Beach,Neutral,Streets of Long Beach,Long Beach,CA,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-05-09,4:30 PM,Indianapolis Motor Speedway Road Course,Neutral,Indianapolis Motor Speedway,Indianapolis,IN,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-05-24,10:00 AM,Indianapolis 500,Neutral,Indianapolis Motor Speedway,Indianapolis,IN,FOX,Race,110th Indianapolis 500
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-05-31,12:30 PM,Streets of Detroit,Neutral,Streets of Detroit,Detroit,MI,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-06-07,9:00 PM,World Wide Technology Raceway,Neutral,World Wide Technology Raceway,Madison,IL,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-06-21,2:00 PM,Road America,Neutral,Road America,Elkhart Lake,WI,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-07-05,12:30 PM,Mid-Ohio Sports Car Course,Neutral,Mid-Ohio Sports Car Course,Lexington,OH,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-07-19,TBA,Nashville Superspeedway,Neutral,Nashville Superspeedway,Lebanon,TN,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-08-09,4:00 PM,Portland International Raceway,Neutral,Portland International Raceway,Portland,OR,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-08-16,12:00 PM,Streets of Markham,Neutral,Streets of Markham,Markham,ON,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-08-29,2:30 PM,Milwaukee Mile Race 1,Neutral,Milwaukee Mile,West Allis,WI,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-08-30,1:00 PM,Milwaukee Mile Race 2,Neutral,Milwaukee Mile,West Allis,WI,FOX,Race,
IndyCar,IndyCar,NTT INDYCAR SERIES,2026,2026-09-06,2:30 PM,WeatherTech Raceway Laguna Seca,Neutral,WeatherTech Raceway Laguna Seca,Monterey,CA,FOX,Race,
