Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-01,9:30 AM,Villanova,Neutral,La PalaTiziano,Rome,ITA,FOX,Regular Season,Rome
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-05,TBA,Mercyhurst,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-09,TBA,Eastern Illinois,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-11,TBA,South Carolina State,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-17,TBA,Florida,Neutral,Michelob ULTRA Arena,Las Vegas,NV,TBA,Regular Season,Players Era 8
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-18,TBA,TBD,Neutral,Michelob ULTRA Arena,Las Vegas,NV,TBA,Regular Season,Players Era 8
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-19,TBA,TBD,Neutral,Michelob ULTRA Arena,Las Vegas,NV,TBA,Regular Season,Players Era 8
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-24,TBA,Stanford,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,ACC
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-11-28,TBA,Virginia Tech,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,ACC
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-12-01,TBA,Georgia Tech,Away,McCamish Pavilion,Atlanta,GA,TBA,Regular Season,ACC
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-12-04,TBA,Virginia,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,ACC
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-12-07,TBA,Miami,Away,Watsco Center,Coral Gables,FL,TBA,Regular Season,ACC
Basketball,Notre Dame Fighting Irish,NCAA,2026,2026-12-12,TBA,Wake Forest,Home,Purcell Pavilion,South Bend,IN,TBA,Regular Season,ACC
