Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-09-06,7:30 PM,Wisconsin Badgers,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-09-12,3:30 PM,Rice Owls,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-09-19,7:30 PM,Michigan State Spartans,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-09-26,2:00 PM,Purdue Boilermakers,Away,Ross-Ade Stadium,West Lafayette,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-10-03,1:00 PM,North Carolina Tar Heels,Away,Kenan Memorial Stadium,Chapel Hill,NC,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-10-10,3:30 PM,Stanford Cardinal,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-10-17,1:00 PM,BYU Cougars,Away,LaVell Edwards Stadium,Provo,UT,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-10-31,12:00 PM,Navy Midshipmen,Away,M&T Bank Stadium,Baltimore,MD,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-11-07,7:30 PM,Miami Hurricanes,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-11-14,3:30 PM,Boston College Eagles,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-11-21,7:30 PM,SMU Mustangs,Home,Notre Dame Stadium,South Bend,IN,TBD,Regular Season,
Football,Notre Dame Fighting Irish,NCAA FBS,2026,2026-11-28,1:00 PM,Syracuse Orange,Away,JMA Wireless Dome,Syracuse,NY,TBD,Regular Season,
